# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 83 63 774 958 508
p 2 39 383 498 1637 716
p 2 22 426 472 2102 705
p 2 17 431 472 2275 689
p 2 16 318 586 2594 630
p 2 10 427 483 2782 669
p 2 7 250 663 2827 536
p 2 6 431 483 3102 644
p 2 6 245 669 3059 517
p 2 6 428 486 3307 639
p 2 9 329 582 3200 576
p 2 6 431 483 3411 629
p 2 6 332 582 3406 558
p 2 5 431 484 3567 627
p 2 5 265 650 3342 509
p 2 3 273 644 3521 515
p 2 0 241 679 663 351
p 2 211 412 297 9544 1620
p 2 121 508 291 11153 1614
p 2 74 597 249 11354 1601
p 2 43 576 301 10745 1484
p 2 0 536 384 1141 753
p 2 0 378 542 649 514
p 2 0 294 626 426 389
p 2 0 224 696 352 322
p 2 0 144 776 300 273
p 2 0 104 816 258 232
p 2 0 108 812 242 229
i 2 920 0 0 14688 3431
p 2 492 428 0 19833 3635
p 2 362 558 0 24381 3614
p 2 262 658 0 27247 3498
p 2 0 683 237 1632 901
p 2 0 493 427 906 617
p 2 0 353 567 647 479
p 2 0 451 469 837 570
p 2 0 316 604 612 447
p 2 0 293 627 552 421
p 2 0 223 697 458 346
p 2 0 224 696 452 350
p 2 0 142 778 331 269
p 2 0 146 774 327 273
p 2 0 89 831 252 219
p 2 0 77 843 239 210
p 2 0 65 855 224 198
p 2 0 66 854 215 196
p 2 0 62 858 201 188
p 2 0 58 862 198 188
i 2 920 0 0 62396 4912
p 2 0 149 771 389 287
p 2 0 106 814 285 240
p 2 0 67 853 456 208
p 2 0 47 873 220 182
p 2 0 39 881 205 175
p 2 0 44 876 446 187
p 2 0 46 874 232 180
p 2 0 27 893 187 163
p 2 0 24 896 472 168
p 2 0 39 881 219 172
p 2 0 16 904 167 152
p 2 0 30 890 458 172
p 2 0 24 896 191 159
p 2 0 14 906 164 151
p 2 0 26 894 465 168
p 2 0 264 656 731 394
p 2 0 388 532 1165 548
p 2 0 414 506 1490 559
p 2 0 557 363 1631 718
p 2 0 434 486 1333 586
p 2 0 504 416 1907 672
p 2 0 645 275 2008 784
p 2 0 548 372 1699 727
p 2 0 509 411 1899 659
p 2 0 592 328 1846 758
p 2 0 513 407 1538 661
p 2 0 668 252 2700 861
p 2 0 572 348 1946 722
p 2 0 567 353 1807 738
p 2 0 617 303 2429 789
p 2 0 586 334 1861 758
p 2 0 266 654 691 390
p 2 0 149 771 728 294
p 2 0 81 839 295 211
p 2 0 101 819 320 232
p 2 0 52 868 510 193
p 2 0 52 868 234 186
p 2 0 40 880 215 175
p 2 0 36 884 402 178
p 2 0 19 901 175 154
p 2 0 14 906 165 150
p 2 0 23 897 410 163
p 2 0 13 907 175 148
i 2 920 0 0 38223 4089
p 2 0 278 642 1648 419
p 2 0 210 710 2050 351
p 2 0 133 787 2039 279
p 2 0 148 772 2118 288
p 2 0 126 794 2147 272
p 2 0 84 836 2086 233
p 2 0 77 843 2122 228
p 2 0 79 841 2138 228
p 2 0 68 852 2096 216
p 2 0 69 851 2082 216
p 2 0 64 856 2176 212
p 2 0 60 860 2075 211
p 2 0 49 871 374 190
p 2 0 46 874 257 180
p 2 0 35 885 261 173
p 2 0 17 903 175 154
p 2 0 15 905 172 152
p 2 0 22 898 187 158
p 2 0 10 910 163 148
p 2 0 10 910 154 146
p 2 40 879 1 15981 2108
p 2 74 846 0 18952 2311
p 2 36 884 0 19721 2309
p 2 25 895 0 19283 2232
p 2 17 903 0 19276 2209
p 2 32 888 0 19125 2204
p 2 0 855 65 3512 1234
p 2 0 843 77 4308 1155
p 2 0 760 160 2673 1026
p 2 0 752 168 2747 993
p 2 0 866 54 4346 1214
p 2 0 663 257 2165 855
p 2 0 708 212 2316 944
p 2 0 827 93 4213 1125
p 2 0 688 232 2236 922
p 2 0 795 125 3923 1088
p 2 0 817 103 3154 1142
p 2 0 750 170 2481 963
p 2 0 771 149 3095 1040
p 2 0 778 142 2942 1016
p 2 0 778 142 2759 1044
i 2 920 0 0 79988 5063
p 2 0 196 724 448 330
p 2 2 485 433 18205 823
p 2 0 291 629 1099 433
p 2 0 354 566 14211 639
p 2 0 376 544 2568 536
p 2 0 364 556 10728 619
p 2 0 232 688 956 378
p 2 0 408 512 8901 625
p 2 0 244 676 949 377
p 2 0 366 554 8621 575
p 2 0 229 691 927 364
p 2 0 307 613 7015 504
p 2 0 378 542 2424 518
p 2 0 302 618 9980 524
p 2 0 211 709 887 345
p 2 0 370 550 8850 572
p 2 0 242 678 912 374
p 2 0 384 536 11457 607
p 2 0 236 684 947 372
p 2 1 302 617 10672 539
p 2 0 352 568 2283 498
p 2 0 319 601 7902 522
p 2 0 215 705 882 349
p 2 0 392 528 9279 597
p 2 0 245 675 952 383
p 2 0 362 558 8669 556
p 2 0 214 706 862 343
p 2 0 270 650 6523 449
p 2 0 310 610 2143 448
p 2 0 288 632 7331 478
p 2 0 196 724 798 326
p 2 0 357 563 9525 567
p 2 0 221 699 918 356
p 2 0 354 566 13386 602
p 2 0 212 708 874 346
p 2 0 265 655 13026 530
p 2 0 312 608 2488 472
p 2 1 330 589 15251 611
p 2 0 241 679 2567 391
p 2 1 390 529 16014 670
p 2 0 250 670 3130 408
p 2 2 381 537 15494 675
p 2 0 252 668 3176 412
p 2 0 280 640 12918 551
i 2 920 0 0 32169 3768
p 2 0 860 60 4657 1078
p 2 0 891 29 11500 1446
p 2 41 834 45 16432 1912
p 2 11 885 24 10191 1718
p 2 30 868 22 19346 2045
